"property","value"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Abjasia"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Aslan_Bzhania"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Historiadoras"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Historiadoras_de_Malí"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Alpha_Oumar_Konaré"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Feministas_de_Malí"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Primera_dama_de_Malí"
"http://www.w3.org/2007/05/powder-s#describedby","http://es.dbpedia.org/about/id/entity/http/es.dbpedia.org/resource/Categoría:Activistas_por_los_derechos_de_las_mujeres_de_Malí"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Nacidos_en_1956"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Alumnado_de_la_Universidad_de_Panamá"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Políticos_del_Partido_de_la_Liberación_Dominicana"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Comendador"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Provincia_de_Elías_Piña"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Distrito_Nacional"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Cónyuge"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Político"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Santo_Domingo"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Universidad_de_Panamá"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Instituto_Tecnológico_de_Santo_Domingo"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Políticos_del_Partido_Reformista_Social_Cristiano"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Partido_de_la_Liberación_Dominicana"
"http://www.w3.org/2007/05/powder-s#describedby","http://es.dbpedia.org/about/id/entity/http/es.dbpedia.org/resource/Categoría:Personas_vivas"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Partido_Reformista_Social_Cristiano"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Elías_Piña"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1892-1894"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1895-1900"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1901-1906"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Domingo_Almenara_Butler"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1907-1912"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Ministro_de_Economía_y_Finanzas_del_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Eduardo_López_de_Romaña"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/José_Reynoso"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Lima"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Juan_Federico_Ward"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Arequipa"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1883"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1886-1889"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_por_Tacna"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Arequipeños"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Ministros_de_Economía_y_Finanzas_de_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Departamento_de_Tacna"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Cesáreo_Chacaltana_Reyes"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Senadores_de_Perú_1889-1891"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Congreso_de_la_República_del_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Catedráticos_de_la_Universidad_Nacional_Mayor_de_San_Marcos"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Miembros_del_Partido_Aprista_Peruano"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Parlamentarios_andinos"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Sanmarquinos_(siglo_XXI)"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Alumnado_de_la_Pontificia_Universidad_Católica_del_Perú"
"http://www.w3.org/2007/05/powder-s#describedby","http://localhost:8890/about/id/entity/http/es.dbpedia.org/resource/Categoría:Diputados_de_Perú_1985-1990"
