id_station,station_name,latitude,longitude,address,type
260.0,252 - Chamartín,-3.68391,40.4716,'Calle Rodríguez Jaén nº 40',STATION
261.0,253 - Doctor Fleming,-3.68844,40.45546,'Calle Doctor Fleming nº 7',STATION
262.0,254 - Pío XII,-3.67712,40.46041,'Avenida Pío XII nº 3',STATION
263.0,255 - López Pozas,-3.68514,40.46361,'Calle General López Pozas nº 2',STATION
264.0,256 - Reina Victoria,-3.71383,40.44635,'Calle Beatriz de Bobadilla frente al nº 2',STATION
265.0,257 - INEF,-3.72997,40.43896,'Avenida Juan de Herrera frente a la calle Paul Guinard',STATION
266.0,258 - Ciudad Universitaria 1,-3.72699,40.44375,'Avenida de la Complutense (Metro Ciudad Universitaria)',STATION
267.0,259 - Ciudad Universitaria 2,-3.72693,40.44342,'Avenida de la Complutense (Metro Ciudad Universitaria)',STATION
268.0,260 - Facultad Biología,-3.7272945,40.4483322,'Calle José Antonio Novais frente al nº 12',STATION
269.0,261 - Facultad Derecho,-3.72937,40.45109,'Avenida Complutense nº 23',STATION
270.0,247 - Zurbano,-3.69281,40.43837,'Calle Zurbano nº 90',STATION
