id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace342,-3.6696383,40.3987333,"'28007,ES,Madrid,Madrid,Calle de Arregui y aruej 2,Madrid'",28007,ES,Madrid,Madrid,Calle de Arregui y aruej 2,Madrid
FreePlace343,-3.674105,40.400785,"'28007,ES,Madrid,Madrid,Avenida de la Ciudad de barcelona 81B,Madrid'",28007,ES,Madrid,Madrid,Avenida de la Ciudad de barcelona 81B,Madrid
FreePlace344,-3.6950566,40.4243366,"'28004,ES,Madrid,Madrid,Calle de Fernando vi 14,Madrid'",28004,ES,Madrid,Madrid,Calle de Fernando vi 14,Madrid
FreePlace345,-3.6579566,40.4074033,"'28030,ES,Madrid,Madrid,Plaza del Corregidor alonso de aguilar 5,Madrid'",28030,ES,Madrid,Madrid,Plaza del Corregidor alonso de aguilar 5,Madrid
FreePlace346,-3.7176883,40.3900816,"'28019,ES,Madrid,Madrid,Calle Antoñita jiménez 21,Madrid'",28019,ES,Madrid,Madrid,Calle Antoñita jiménez 21,Madrid
FreePlace347,-3.6946866,40.4238016,"'28004,ES,Madrid,Madrid,Plaza de Salesas 8,Madrid'",28004,ES,Madrid,Madrid,Plaza de Salesas 8,Madrid
FreePlace348,-3.6945033,40.4243133,"'28004,ES,Madrid,Madrid,Plaza de Salesas 2,Madrid'",28004,ES,Madrid,Madrid,Plaza de Salesas 2,Madrid
FreePlace349,-3.694505,40.4243199,"'28004,ES,Madrid,Madrid,Plaza de Salesas 2,Madrid'",28004,ES,Madrid,Madrid,Plaza de Salesas 2,Madrid
FreePlace350,-3.6893649,40.461715,"'28046,ES,Madrid,Madrid,Paseo de la Castellana 194,Madrid'",28046,ES,Madrid,Madrid,Paseo de la Castellana 194,Madrid
FreePlace351,-3.5949833,40.4529866,"'28042,ES,Madrid,Madrid, V.c. vía verde de la gasolina ,Madrid'",28042,ES,Madrid,Madrid, V.c. vía verde de la gasolina ,Madrid
FreePlace352,-3.5950016,40.45295,"'28042,ES,Madrid,Madrid, V.c. vía verde de la gasolina ,Madrid'",28042,ES,Madrid,Madrid, V.c. vía verde de la gasolina ,Madrid
FreePlace353,-3.6485633,40.4327249,"'28017,ES,Madrid,Madrid,Calle de José maría pereda 1,Madrid'",28017,ES,Madrid,Madrid,Calle de José maría pereda 1,Madrid
FreePlace354,-3.6807433,40.4225333,"'28009,ES,Madrid,Madrid,Calle de Alcalá 119,Madrid'",28009,ES,Madrid,Madrid,Calle de Alcalá 119,Madrid
FreePlace355,-3.685215,40.4794866,"'28046,ES,Madrid,Madrid,Paseo de la Castellana 298,Madrid'",28046,ES,Madrid,Madrid,Paseo de la Castellana 298,Madrid
FreePlace356,-3.7044733,40.4081533,"'28012,ES,Madrid,Madrid,Calle de Embajadores 52,Madrid'",28012,ES,Madrid,Madrid,Calle de Embajadores 52,Madrid
FreePlace357,-3.6993599,40.4362016,"'28010,ES,Madrid,Madrid,Calle de Santa engracia 89,Madrid'",28010,ES,Madrid,Madrid,Calle de Santa engracia 89,Madrid
FreePlace358,-3.6885866,40.4214883,"'28001,ES,Madrid,Madrid,Calle de Serrano 5,Madrid'",28001,ES,Madrid,Madrid,Calle de Serrano 5,Madrid
FreePlace359,-3.672305,40.4214766,"'28009,ES,Madrid,Madrid, Tunel de o'donnell 53,Madrid'",28009,ES,Madrid,Madrid, Tunel de odonnell 53,Madrid
FreePlace360,-3.721805,40.3932366,"'28019,ES,Madrid,Madrid,Calle de Mercedes arteaga 15,Madrid'",28019,ES,Madrid,Madrid,Calle de Mercedes arteaga 15,Madrid
FreePlace361,-3.7195066,40.4090099,"'28005,ES,Madrid,Madrid,Calle de Juan duque 47,Madrid'",28005,ES,Madrid,Madrid,Calle de Juan duque 47,Madrid
