ID_Punto,GESTIÓN,DISTRITO,COD_DIS,BARRIO,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
3MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela D.2.1 Anexo avenida de legazpi,Mercamadrid,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:56Z,24
5MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela E4 Anexo Avda Legazpi,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
6MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela B14 Anexo Calle 3,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC (CIRCUTOR),2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
07VP,Convenio vía pública,Retiro,3,Ibiza,4,Ejecutado,Calle Ibiza 1,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
09VP,Convenio vía pública,Retiro,3,Jerónimos,5,Ejecutado,"Plaza de la Lealtad, s/n",Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-06-17T22:00:00Z,2022-02-03T15:21:24Z,2023-04-25T10:33:19Z,24
10CoCe20,Convenio cesión,Carabanchel,11,Buenavista,6,Ejecutado,"Calle Hilario Herranz Establos, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:58:24Z,24
08CoCe20,Convenio cesión,Moncloa - Aravaca,9,Argüelles,2,Ejecutado,"Calle Marqués de Urquijo, 27",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
19CoCe20,Convenio cesión,Villaverde,17,"Villaverde Alto, Casco Histórico de Villaverde",1,Ejecutado,"Calle Valle de Tobalina, 24 (ES Ballenoil)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2022-02-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
04CoCe20,Convenio cesión,Tetuán,6,Cuatro Caminos,2,Ejecutado,"Mercado Municipal de Maravillas, Calle Bravo Murillo 122",Mercado municipal,Mercado Municipal,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-07-31T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:32:52Z,24
11CoCe20,Convenio cesión,Usera,12,Orcasur,2,Ejecutado,"Calle de Eduardo Barreiros, 2 (On rent)",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:00:12Z,24
05CoCe20,Convenio cesión,Tetuán,6,Cuatro Caminos,2,Ejecutado,"Avenida del General Perón, 21",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-11-16T23:00:00Z,2022-02-03T15:21:24Z,2022-11-22T07:40:58Z,24
12CoCe20,Convenio cesión,Usera,12,Orcasur,2,Ejecutado,ES Avenida de Andalucía 38 - Carretera A-4 PK6.70 D,Estación de servicio,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:52:54Z,24
18CoCe20,Convenio cesión,Hortaleza,16,Apostol Santiago,5,Ejecutado,"SEDE NATURGY, Av San Luis, 77",Aparcamiento,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-02-16T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,de 6 a 24 h
20CoCe20,Convenio cesión,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"Atolón 98 (Mercamadrid), Calle 29.",Mercamadrid,-,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-04-24T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:14:33Z,24
15CoCe20,Convenio cesión,Ciudad Lineal,15,Ventas,1,Ejecutado,"Estación de Servicio SUDEL, Calle Ricardo Ortiz, 44",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,Sudel,2023-01-19T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,24
17CoCe20,Convenio cesión,Ciudad Lineal,15,Colina,7,Ejecutado,"ES Calle Arturo Soria, 175",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-01-25T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:01:34Z,24
16CoCe20,Convenio cesión,Ciudad Lineal,15,San Pascual,5,Ejecutado,Calle Verdaguer y García 5 (Ipark-Verdaguer ampliación),Aparcamiento,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-02-05T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,24
14CoCe20,Convenio cesión,Moratalaz,14,Marroquina,3,Ejecutado,CRE Moratalaz Glorieta del Corregidor Sancho de Córdoba,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,24
23CoCe20,Convenio cesión,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"Avenida Mayorazgo, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:29:15Z,24
27CoCe20,Convenio cesión,San Blas - Canillejas,20,Simancas,1,Ejecutado,"Avenida Arcentales, 7",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:30:11Z,24
26CoCe20,Convenio cesión,San Blas - Canillejas,20,Simancas,1,Ejecutado,Calle Alcalá 510 (CRED San Blas),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,24
